Control 1: Style = pushbutton, Text = Toggle all/free, Tag = 
Control 83: Style = pushbutton, Text = Delete, Tag = 
Control 84: Style = pushbutton, Text = Down, Tag = 
Control 85: Style = pushbutton, Text = Up, Tag = 
Control 86: Style = pushbutton, Text = Copy, Tag = 
Control 87: Style = pushbutton, Text = New, Tag = 
Control 88: Style = pushbutton, Text = Delete, Tag = 
Control 89: Style = pushbutton, Text = Down, Tag = 
Control 90: Style = pushbutton, Text = Up, Tag = 
Control 91: Style = pushbutton, Text = Copy, Tag = 
Control 92: Style = pushbutton, Text = New, Tag = 
Control 93: Style = pushbutton, Text = Delete, Tag = 
Control 94: Style = pushbutton, Text = Down, Tag = 
Control 95: Style = pushbutton, Text = Up, Tag = 
Control 96: Style = pushbutton, Text = Copy, Tag = 
Control 97: Style = pushbutton, Text = New, Tag = 
Control 98: Style = pushbutton, Text = Delete, Tag = 
Control 99: Style = pushbutton, Text = Down, Tag = 
Control 100: Style = pushbutton, Text = Up, Tag = 
Control 101: Style = pushbutton, Text = Copy, Tag = 
Control 102: Style = pushbutton, Text = New, Tag = 
Control 103: Style = pushbutton, Text = Delete, Tag = 
Control 104: Style = pushbutton, Text = Down, Tag = 
Control 105: Style = pushbutton, Text = Up, Tag = 
Control 106: Style = pushbutton, Text = Copy, Tag = 
Control 107: Style = pushbutton, Text = New, Tag = 
Control 108: Style = frame, Text = , Tag = 
Control 109: Style = pushbutton, Text = Delete, Tag = 
Control 110: Style = pushbutton, Text = Down, Tag = 
Control 111: Style = pushbutton, Text = Up, Tag = 
Control 112: Style = pushbutton, Text = Copy, Tag = 
Control 113: Style = pushbutton, Text = New, Tag = 
Control 114: Style = frame, Text = , Tag = 
Control 115: Style = text, Text = Edit experiments, Tag = 
Control 116: Style = pushbutton, Text = Delete, Tag = 
Control 117: Style = pushbutton, Text = Down, Tag = 
Control 118: Style = pushbutton, Text = Up, Tag = 
Control 119: Style = pushbutton, Text = Copy, Tag = 
Control 120: Style = pushbutton, Text = New, Tag = 
Control 121: Style = text, Text = Edit equivalent atoms, Tag = 
Control 122: Style = frame, Text = , Tag = 
Control 123: Style = pushbutton, Text = Delete, Tag = 
Control 124: Style = pushbutton, Text = Down, Tag = 
Control 125: Style = pushbutton, Text = Up, Tag = 
Control 126: Style = pushbutton, Text = Copy, Tag = 
Control 127: Style = pushbutton, Text = New, Tag = 
Control 128: Style = text, Text = Edit symmetric atoms, Tag = 
Control 129: Style = frame, Text = , Tag = 
Control 130: Style = text, Text = Edit atom properties, Tag = 
Control 131: Style = text, Text = Select metabolite, Tag = 
Control 132: Style = listbox, Text = 3PG 510FTHF AICAR AIR AMP ATP AcCoA Alanine CH2THF CH3 CO2 Citrate Cystathione Cysteine DHAP E4P F6P FBP Fumarate G3P G6P GA3P GAR Glucose Glutamate Glutamine Glutamylcysteine Glutathione Glycine HCO3 Homocysteine Lactate Malate Methionine O2 OAA PEP Palmitoylcarnitine Pyruvate R5P RB5P S7P Serine Succinate XU5P aKB a_ketoglutarate glycogen, Tag = 
Control 133: Style = text, Text = Select compartment, Tag = 
Control 134: Style = popupmenu, Text = All compartments cell in media out, Tag = 
Control 135: Style = text, Text = Select type, Tag = 
Control 136: Style = popupmenu, Text = All types Source Sink Internal, Tag = 
Control 137: Style = text, Text = Edit pool properties, Tag = 
Control 138: Style = text, Text = Edit flux properties of selected reactions, Tag = 
Control 139: Style = pushbutton, Text = Delete, Tag = 
Control 140: Style = pushbutton, Text = Down, Tag = 
Control 141: Style = pushbutton, Text = Up, Tag = 
Control 142: Style = pushbutton, Text = Copy, Tag = 
Control 143: Style = frame, Text = , Tag = 
Control 144: Style = text, Text = Modify selected reactions, Tag = 
Control 145: Style = text, Text = View pathway, Tag = 
Control 146: Style = pushbutton, Text = Select, Tag = 
Control 147: Style = popupmenu, Text = All pathways Active pathways, Tag = 
Control 148: Style = text, Text = Edit reaction properties, Tag = 
Control 149: Style = text, Text = Enter network description, Tag = 
Control 150: Style = edit, Text = , Tag = 
Control 151: Style = checkbox, Text = Append reactions, Tag = 
Control 152: Style = pushbutton, Text = Enter, Tag = 
Control 153: Style = frame, Text = , Tag = 
Control 154: Style = text, Text = Build network, Tag = 
Control 155: Style = text, Text = Enter network reactions, Tag = 
Control 156: Style = edit, Text = Glucose.media (abcdef) -> Glucose.cell (abcdef) glycogen (abcdef) -> Glucose.cell (abcdef) Glucose.cell (abcdef) -> G6P (abcdef) G6P (abcdef) <-> F6P (abcdef) F6P (abcdef) <-> FBP (abcdef) FBP (abcdef) <-> 3PG (cba) + 3PG (def) DHAP (abc) <-> GA3P (abc) GA3P (abc) <-> 3PG (abc) 3PG (abc) <-> PEP (abc) PEP (abc) -> Pyruvate (abc) Pyruvate (abc) <-> Alanine (abc) Alanine.media (abc) -> Alanine (abc) Pyruvate (abc) + 0.5*O2 <-> Lactate (abc) Lactate (abc) -> Lactate.media (abc) Pyruvate.media (abc) -> Pyruvate (abc) Pyruvate (abc) + CO2 (d) -> OAA (abcd) OAA (abcd) <-> PEP (abc) + CO2 (d) OAA.cell (abcd) -> Malate.cell (abcd) Pyruvate (abc) + 0.5*O2 -> AcCoA (bc) + CO2 (a) AcCoA (ef) + OAA (abcd) -> Citrate (dcbfea) Citrate (abcdef) + 0.5*O2 -> a_ketoglutarate (abcde) + CO2 (f) Citrate (abcdef) + Malate.cell (ghij) -> Citrate.cell (abcdef) + Malate (ghij) a_ketoglutarate (abcde) + 0.5*O2 -> Succinate (bcde) + CO2 (a) a_ketoglutarate (abcde) <-> Glutamate (abcde) Glutamate (abcde) <-> Glutamine (abcde) Glutamine.media (abcde) -> Glutamine (abcde) a_ketoglutarate.cell (abcde) -> Glutamate (abcde) a_ketoglutarate.cell (abcde) -> a_ketoglutarate.out (abcde) Succinate (abcd) + 0.5*O2 <-> Fumarate (abcd) Fumarate (abcd) <-> Malate (abcd) Malate (abcd) + 0.5*O2 <-> OAA (abcd) Glutamate.mito (abcde) -> Glutamate (abcde) Malate.media (abcd) -> Malate.cell (abcd) OAA (abcd) <-> Aspartate.mito (abcd) Aspartate.mito (abcd) + Glutamate (efghi) -> Aspartate (abcd) + Glutamate.mito (efghi) Aspartate (abcd) + Glutamine (efghi) -> Asparagine (abcd) + Glutamate (efghi) Aspartate (abcd) -> Aspartate.out (abcd) Aspartate (abcd) -> OAA.cell (abcd) Palmitoylcarnitine.media (abcdefghijklmnop) -> Palmitoylcarnitine (abcdefghijklmnop) Palmitoylcarnitine (abcdefghijklmnop) + 7*O2 -> AcCoA (ab) + AcCoA (cd) + AcCoA (ef) + AcCoA (gh) + AcCoA (ij) + AcCoA (kl) + AcCoA (mn) + AcCoA (op) CO2.in (a) -> CO2 (a) CO2 (a) -> CO2.out (a) O2.in -> O2 O2 -> O2.out G6P (abcdef) -> 6PG (abcdef) G6P (abcdef) + O2 -> RB5P (bcdef) + CO2 (a) RB5P (abcde) <-> R5P (abcde) RB5P (abcde) <-> XU5P (abcde) R5P (abcde) + XU5P (fghij) <-> GA3P (fgh) + S7P (abcdeij) GA3P (abc) + S7P (defghij) <-> E4P (defg) + F6P (abchij) E4P (abcd) + XU5P (efghi) <-> GA3P (efg) + F6P (abcdhi) F6P (abcdef) <-> GA3P (def) + EC3 (abc) S7P (abcdefg) <-> E4P (defg) + EC3 (abc) Glutamate (abcde) + Cysteine (fgh) -> Glutamylcysteine (abcdefgh) Glutamylcysteine (abcdefgh) + Glycine (ij) -> Glutathione (abcdefghij) 3PG (abc) -> Serine (abc) Serine (abc) <-> Glycine (ab) + CH2THF (c) CH2THF (a) <-> 510FTHF (a) R5P (abcde) + Glycine (fg) -> GAR (abcdefg) GAR (abcdefg) + 510FTHF (h) -> AIR (abcdefgh) AIR (abcdefgh) + HCO3 (i) <-> AICAR (abcdefghi) AICAR (abcdefghi) + 510FTHF (j) -> AMP (abcdefghij) Methionine.media (abcde) -> Methionine (abcde) 510FTHF (a) + Homocysteine (bcde) -> Methionine (bcdea) Aspartate (abcd) + 510FTHF (e) + O2 -> Methionine (abcde) Methionine (abcde) -> Homocysteine (abcd) + CH3 (e) CH3 (a) -> CH3.out (a) Homocysteine (abcd) + Serine (efg) -> Cystathione (abcdgfe) Cystathione (abcdefg) -> Cysteine (gfe) + aKB (abcd) CO2 (a) <-> HCO3 (a) Glycine.media (ab) -> Glycine (ab) Serine.media (abc) -> Serine (abc) Lactate.media (abc) -> Lactate (abc) Pyruvate.out (abc) -> Pyruvate (abc) Carb (abcdef) -> Glucose.cell (abcdef) Glutamate.media (abcde) -> Glutamate (abcde) Glutathione (abcdefghij) -> Glutamate (abcde) + Cysteine (fgh) + Glycine (ij) Cysteine.media (abc) -> Cysteine (abc) DHAP (abc) + 0.5*O2 -> G3P (abc) Malate.cell (abcd) -> Pyruvate (abc) + CO2 (d) ATP (abcdefghij) -> AMP (abcdefghij) Glutamate.media (abcde) -> Glutamate (abcde) XU5P.media (abcde) -> XU5P (abcde), Tag = 
>> 
